,ME,no_mwu
320,100012680,99987320
321,100014480,99985520
322,100018360,99981640
323,100023200,99976800
324,100026000,99974000
325,100028200,99971800
326,100030160,99969840
327,100026040,99973960
328,100025120,99974880
329,100020280,99979720
330,100025080,99974920
331,100026720,99973280
332,100023640,99976360
333,100020000,99980000
334,100018360,99981640
335,100016000,99984000
336,100017640,99982360
337,100011640,99988360
338,100014720,99985280
339,100019040,99980960
340,100015320,99984680
341,100014760,99985240
342,100017440,99982560
343,100018600,99981400
344,100018160,99981840
345,100017920,99982080
346,100017640,99982360
347,100019880,99980120
348,100019160,99980840
349,100016520,99983480
350,100019760,99980240
351,100017560,99982440
352,100014400,99985600
353,100020120,99979880
354,100020040,99979960
355,100021160,99978840
356,100021000,99979000
357,100017360,99982640
358,100016280,99983720
359,100013080,99986920
360,100015600,99984400
361,100017040,99982960
362,100014800,99985200
363,100014680,99985320
364,100012520,99987480
365,100014440,99985560
366,100012000,99988000
367,100009040,99990960
368,100014080,99985920
369,100015360,99984640
370,100020280,99979720
371,100020920,99979080
372,100019840,99980160
373,100015000,99985000
374,100019720,99980280
375,100019240,99980760
376,100018960,99981040
377,100017920,99982080
378,100017960,99982040
379,100018120,99981880
380,100019520,99980480
381,100021160,99978840
382,100021280,99978720
383,100017240,99982760
384,100021000,99979000
385,100021880,99978120
386,100015800,99984200
387,100020840,99979160
388,100014640,99985360
389,100023120,99976880
390,100030120,99969880
391,100029480,99970520
392,100027320,99972680
393,100027760,99972240
394,100029920,99970080
395,100027280,99972720
396,100033200,99966800
397,100031360,99968640
398,100032840,99967160
399,100032480,99967520
400,100037760,99962240
401,100039680,99960320
402,100042360,99957640
403,100038720,99961280
404,100042200,99957800
405,100042320,99957680
406,100044360,99955640
407,100041080,99958920
408,100045440,99954560
409,100046440,99953560
410,100045880,99954120
411,100042760,99957240
412,100053160,99946840
413,100048800,99951200
414,100054000,99946000
415,100051040,99948960
416,100055240,99944760
417,100050840,99949160
418,100051240,99948760
419,100059040,99940960
420,100059800,99940200
421,100066480,99933520
422,100065200,99934800
423,100063600,99936400
424,100059840,99940160
425,100062600,99937400
426,100056040,99943960
427,100056640,99943360
428,100052760,99947240
429,100054880,99945120
430,100055760,99944240
431,100051160,99948840
432,100055080,99944920
433,100061560,99938440
434,100065200,99934800
435,100074080,99925920
436,100072240,99927760
437,100073520,99926480
438,100072320,99927680
439,100071720,99928280
440,100074520,99925480
441,100075600,99924400
442,100080240,99919760
443,100079480,99920520
444,100076840,99923160
445,100077240,99922760
446,100082560,99917440
447,100079200,99920800
448,100071000,99929000
449,100071400,99928600
450,100068680,99931320
451,100070200,99929800
452,100065840,99934160
453,100058680,99941320
454,100058800,99941200
455,100064280,99935720
456,100063400,99936600
457,100066520,99933480
458,100059960,99940040
459,100065720,99934280
460,100063080,99936920
461,100062640,99937360
462,100059840,99940160
463,100061640,99938360
464,100062600,99937400
465,100060000,99940000
466,100060200,99939800
467,100059040,99940960
468,100060040,99939960
469,100061280,99938720
470,100059040,99940960
471,100061600,99938400
472,100061000,99939000
473,100065160,99934840
474,100066160,99933840
475,100062600,99937400
476,100062600,99937400
477,100064720,99935280
478,100066720,99933280
479,100063680,99936320
480,100060840,99939160
481,100059440,99940560
482,100058640,99941360
483,100058840,99941160
484,100060600,99939400
485,100064520,99935480
486,100064560,99935440
487,100065480,99934520
488,100063360,99936640
489,100060320,99939680
490,100056800,99943200
491,100061160,99938840
492,100059240,99940760
493,100059760,99940240
494,100053680,99946320
495,100058840,99941160
496,100054440,99945560
497,100049960,99950040
498,100050960,99949040
499,100048680,99951320
500,100046400,99953600
501,100045720,99954280
502,100044040,99955960
503,100042880,99957120
504,100041240,99958760
505,100041240,99958760
506,100037640,99962360
507,100044080,99955920
508,100047000,99953000
509,100041840,99958160
510,100040240,99959760
511,100041760,99958240
512,100040160,99959840
513,100039720,99960280
514,100037320,99962680
515,100040280,99959720
516,100036000,99964000
517,100038240,99961760
518,100037440,99962560
519,100039920,99960080
520,100039800,99960200
521,100043280,99956720
522,100045400,99954600
523,100039600,99960400
524,100038160,99961840
525,100041240,99958760
526,100044320,99955680
527,100045280,99954720
528,100042720,99957280
529,100045240,99954760
530,100042400,99957600
531,100040400,99959600
532,100046720,99953280
533,100046280,99953720
534,100049000,99951000
535,100053440,99946560
