,ME,no_mwu
1,1000002120,999997880
2,1000010080,999989920
3,1000013080,999986920
4,1000005720,999994280
5,1000026760,999973240
6,1000033800,999966200
7,1000063520,999936480
8,1000049920,999950080
9,1000047360,999952640
10,1000043520,999956480
11,1000027960,999972040
12,1000015160,999984840
13,1000016240,999983760
14,1000004040,999995960
15,999977840,1000022160
16,999941080,1000058920
17,999912880,1000087120
18,999890200,1000109800
19,999884200,1000115800
20,999843400,1000156600
21,999813000,1000187000
22,999777640,1000222360
23,999747760,1000252240
24,999724960,1000275040
25,999690720,1000309280
26,999653120,1000346880
27,999626440,1000373560
28,999596680,1000403320
29,999555600,1000444400
30,999518680,1000481320
31,999493520,1000506480
32,999456240,1000543760
33,999410920,1000589080
34,999376720,1000623280
35,999347360,1000652640
36,999288040,1000711960
37,999261360,1000738640
38,999222640,1000777360
39,999188360,1000811640
40,999154160,1000845840
41,999128720,1000871280
42,999070880,1000929120
43,999021240,1000978760
44,998983080,1001016920
45,998950640,1001049360
46,998910080,1001089920
47,998874480,1001125520
48,998823800,1001176200
49,998788040,1001211960
50,998742400,1001257600
51,998705720,1001294280
52,998651040,1001348960
53,998621200,1001378800
54,998581080,1001418920
55,998560240,1001439760
56,998521560,1001478440
57,998470640,1001529360
58,998424680,1001575320
59,998376240,1001623760
60,998335520,1001664480
61,998287360,1001712640
62,998238280,1001761720
63,998193960,1001806040
64,998164480,1001835520
65,998119800,1001880200
66,998070720,1001929280
67,998025480,1001974520
68,997984840,1002015160
69,997945400,1002054600
70,997896800,1002103200
71,997865520,1002134480
72,997832400,1002167600
73,997793080,1002206920
74,997744120,1002255880
75,997711320,1002288680
76,997671760,1002328240
77,997637160,1002362840
78,997596720,1002403280
79,997559640,1002440360
80,997515640,1002484360
81,997481040,1002518960
82,997437720,1002562280
83,997386960,1002613040
84,997354960,1002645040
85,997312000,1002688000
86,997268560,1002731440
87,997238920,1002761080
88,997197760,1002802240
89,997160320,1002839680
90,997119240,1002880760
91,997075640,1002924360
92,997028240,1002971760
93,996993160,1003006840
94,996947440,1003052560
95,996897800,1003102200
96,996853480,1003146520
97,996801880,1003198120
98,996765760,1003234240
99,996747240,1003252760
100,996707760,1003292240
101,996667640,1003332360
102,996621840,1003378160
103,996580000,1003420000
104,996550800,1003449200
105,996504320,1003495680
106,996459320,1003540680
107,996425520,1003574480
108,996379800,1003620200
109,996336400,1003663600
110,996297800,1003702200
111,996251040,1003748960
112,996205560,1003794440
113,996169320,1003830680
114,996141560,1003858440
115,996097120,1003902880
116,996054960,1003945040
117,996020280,1003979720
118,995981840,1004018160
119,995936320,1004063680
120,995891640,1004108360
121,995853120,1004146880
122,995806680,1004193320
123,995771520,1004228480
124,995729400,1004270600
125,995694920,1004305080
126,995653480,1004346520
127,995604560,1004395440
128,995557880,1004442120
129,995518360,1004481640
130,995468080,1004531920
131,995417600,1004582400
132,995374560,1004625440
133,995326160,1004673840
134,995290360,1004709640
135,995247160,1004752840
136,995197280,1004802720
137,995153160,1004846840
138,995102120,1004897880
139,995053320,1004946680
140,995006520,1004993480
141,994969960,1005030040
142,994940040,1005059960
143,994908520,1005091480
144,994862560,1005137440
145,994815160,1005184840
146,994773200,1005226800
147,994727760,1005272240
148,994690880,1005309120
149,994639960,1005360040
150,994599520,1005400480
151,994563560,1005436440
152,994517880,1005482120
153,994481120,1005518880
154,994443720,1005556280
155,994399560,1005600440
156,994364240,1005635760
157,994321560,1005678440
158,994283000,1005717000
159,994238440,1005761560
160,994199720,1005800280
161,994174280,1005825720
162,994123080,1005876920
163,994083880,1005916120
164,994032640,1005967360
165,993991520,1006008480
166,993959800,1006040200
167,993916080,1006083920
168,993877160,1006122840
169,993844080,1006155920
170,993804520,1006195480
171,993757880,1006242120
172,993706600,1006293400
173,993667600,1006332400
174,993632920,1006367080
175,993607400,1006392600
176,993564760,1006435240
177,993523720,1006476280
178,993474680,1006525320
179,993438920,1006561080
180,993392240,1006607760
181,993339960,1006660040
182,993295400,1006704600
183,993255440,1006744560
184,993210480,1006789520
185,993175640,1006824360
186,993135640,1006864360
187,993087400,1006912600
188,993040800,1006959200
189,993009640,1006990360
190,992978240,1007021760
191,992928240,1007071760
192,992891480,1007108520
193,992864080,1007135920
194,992817360,1007182640
195,992788480,1007211520
196,992743320,1007256680
197,992709600,1007290400
198,992675640,1007324360
199,992642200,1007357800
200,992595840,1007404160
