,ME,no_mwu
1,999996480,1000003520
2,999995840,1000004160
3,999994680,1000005320
4,999995080,1000004920
5,999991040,1000008960
6,999989480,1000010520
7,999979320,1000020680
8,999979600,1000020400
9,999977800,1000022200
10,999980640,1000019360
11,999974120,1000025880
12,999997480,1000002520
13,999987560,1000012440
14,999982880,1000017120
15,999995920,1000004080
16,999974960,1000025040
17,999980760,1000019240
18,999976480,1000023520
19,999994080,1000005920
20,999982760,1000017240
21,999996080,1000003920
22,999974440,1000025560
23,999975640,1000024360
24,999970920,1000029080
25,999942200,1000057800
26,999944680,1000055320
27,999946280,1000053720
28,999941200,1000058800
29,999954080,1000045920
30,999940760,1000059240
31,999941800,1000058200
32,999945360,1000054640
33,999958880,1000041120
34,999960560,1000039440
35,999962840,1000037160
36,999957680,1000042320
37,999971280,1000028720
38,999987640,1000012360
39,999985760,1000014240
40,999982720,1000017280
41,999976760,1000023240
42,999970000,1000030000
43,999979640,1000020360
44,999980800,1000019200
45,999988800,1000011200
46,999977920,1000022080
47,999979960,1000020040
48,999998560,1000001440
49,1000002200,999997800
50,1000016280,999983720
51,1000025000,999975000
52,1000019880,999980120
53,1000021720,999978280
54,1000025600,999974400
55,1000043280,999956720
56,1000043640,999956360
57,1000047600,999952400
58,1000039960,999960040
59,1000046120,999953880
60,1000042200,999957800
61,1000038320,999961680
62,1000044160,999955840
63,1000057440,999942560
64,1000064640,999935360
65,1000069080,999930920
66,1000068160,999931840
67,1000061280,999938720
68,1000065680,999934320
69,1000064880,999935120
70,1000059920,999940080
71,1000055240,999944760
72,1000075800,999924200
73,1000088600,999911400
74,1000086240,999913760
75,1000095920,999904080
76,1000090720,999909280
77,1000092840,999907160
78,1000100520,999899480
79,1000098440,999901560
80,1000087880,999912120
81,1000096200,999903800
82,1000090040,999909960
83,1000090640,999909360
84,1000089560,999910440
85,1000090760,999909240
86,1000098360,999901640
87,1000110440,999889560
88,1000104200,999895800
89,1000115840,999884160
90,1000125640,999874360
91,1000137240,999862760
92,1000119280,999880720
93,1000122160,999877840
94,1000116800,999883200
95,1000102200,999897800
96,1000088320,999911680
97,1000111360,999888640
98,1000118400,999881600
99,1000136800,999863200
100,1000136640,999863360
101,1000139640,999860360
102,1000134200,999865800
103,1000129080,999870920
104,1000132360,999867640
105,1000133920,999866080
106,1000112880,999887120
107,1000101160,999898840
108,1000104040,999895960
109,1000096760,999903240
110,1000089160,999910840
111,1000083240,999916760
112,1000067240,999932760
113,1000071120,999928880
114,1000062440,999937560
115,1000056280,999943720
116,1000033640,999966360
117,1000044240,999955760
118,1000035760,999964240
119,1000036440,999963560
120,1000024760,999975240
121,1000026520,999973480
122,1000034440,999965560
123,1000041480,999958520
124,1000037320,999962680
125,1000028960,999971040
126,1000043400,999956600
127,1000036920,999963080
128,1000045000,999955000
129,1000056800,999943200
130,1000057320,999942680
131,1000060720,999939280
132,1000048880,999951120
133,1000069120,999930880
134,1000066840,999933160
135,1000063960,999936040
136,1000068800,999931200
137,1000064800,999935200
138,1000046160,999953840
139,1000060280,999939720
140,1000054400,999945600
141,1000076360,999923640
142,1000068320,999931680
143,1000070680,999929320
144,1000072840,999927160
145,1000066600,999933400
146,1000075920,999924080
147,1000095360,999904640
148,1000078600,999921400
149,1000074800,999925200
150,1000072720,999927280
151,1000070280,999929720
152,1000069280,999930720
153,1000081560,999918440
154,1000076760,999923240
155,1000083160,999916840
156,1000079480,999920520
157,1000093920,999906080
158,1000093800,999906200
159,1000103880,999896120
160,1000106640,999893360
161,1000101240,999898760
162,1000082480,999917520
163,1000097920,999902080
164,1000098720,999901280
165,1000101400,999898600
166,1000094960,999905040
167,1000099360,999900640
168,1000079080,999920920
169,1000086600,999913400
170,1000091640,999908360
171,1000067040,999932960
172,1000068160,999931840
173,1000068840,999931160
174,1000063920,999936080
175,1000070880,999929120
176,1000078840,999921160
177,1000096680,999903320
178,1000089240,999910760
179,1000112360,999887640
180,1000104480,999895520
181,1000108960,999891040
182,1000090240,999909760
183,1000087920,999912080
184,1000082680,999917320
185,1000073880,999926120
186,1000074760,999925240
187,1000066240,999933760
188,1000074840,999925160
189,1000088600,999911400
190,1000084320,999915680
191,1000096840,999903160
192,1000100840,999899160
193,1000101600,999898400
194,1000102080,999897920
195,1000105200,999894800
196,1000118600,999881400
197,1000125480,999874520
198,1000124160,999875840
199,1000140400,999859600
200,1000146720,999853280
