,ME,no_mwu
1,999991600,1000008400
2,999983920,1000016080
3,999991560,1000008440
4,999994000,1000006000
5,999982280,1000017720
6,999984600,1000015400
7,999992760,1000007240
8,999997000,1000003000
9,1000011320,999988680
10,1000000400,999999600
11,1000006560,999993440
12,1000004320,999995680
13,1000002600,999997400
14,1000011200,999988800
15,1000010840,999989160
16,1000012480,999987520
17,1000018720,999981280
18,1000012920,999987080
19,1000031360,999968640
20,1000043520,999956480
21,1000053480,999946520
22,1000054200,999945800
23,1000066400,999933600
24,1000074920,999925080
25,1000081000,999919000
26,1000077560,999922440
27,1000079280,999920720
28,1000093200,999906800
29,1000080280,999919720
30,1000086960,999913040
31,1000075560,999924440
32,1000062560,999937440
33,1000066360,999933640
34,1000052560,999947440
35,1000063680,999936320
36,1000049800,999950200
37,1000053360,999946640
38,1000061880,999938120
39,1000076720,999923280
40,1000083920,999916080
41,1000096640,999903360
42,1000089440,999910560
43,1000092440,999907560
44,1000070280,999929720
45,1000079000,999921000
46,1000079880,999920120
47,1000085840,999914160
48,1000087440,999912560
49,1000088280,999911720
50,1000081960,999918040
51,1000086560,999913440
52,1000091840,999908160
53,1000084920,999915080
54,1000077040,999922960
55,1000088480,999911520
56,1000088560,999911440
57,1000084200,999915800
58,1000082000,999918000
59,1000083160,999916840
60,1000064960,999935040
61,1000068480,999931520
62,1000062680,999937320
63,1000080040,999919960
64,1000059960,999940040
65,1000068000,999932000
66,1000076040,999923960
67,1000080000,999920000
68,1000072760,999927240
69,1000065600,999934400
70,1000072720,999927280
71,1000087720,999912280
72,1000097520,999902480
73,1000106240,999893760
74,1000112520,999887480
75,1000117080,999882920
76,1000095600,999904400
77,1000102800,999897200
78,1000104560,999895440
79,1000106920,999893080
80,1000110160,999889840
81,1000124640,999875360
82,1000129520,999870480
83,1000146440,999853560
84,1000139320,999860680
85,1000150080,999849920
86,1000149760,999850240
87,1000154440,999845560
88,1000168440,999831560
89,1000170360,999829640
90,1000170640,999829360
91,1000177760,999822240
92,1000171000,999829000
93,1000163280,999836720
94,1000141960,999858040
95,1000134440,999865560
96,1000127560,999872440
97,1000144400,999855600
98,1000134040,999865960
99,1000140400,999859600
100,1000109000,999891000
101,1000116680,999883320
102,1000119360,999880640
103,1000116280,999883720
104,1000108400,999891600
105,1000111280,999888720
106,1000093400,999906600
107,1000103280,999896720
108,1000099080,999900920
109,1000110920,999889080
110,1000108200,999891800
111,1000112920,999887080
112,1000103320,999896680
113,1000104040,999895960
114,1000106880,999893120
115,1000117640,999882360
116,1000114280,999885720
117,1000119360,999880640
118,1000118320,999881680
119,1000123400,999876600
120,1000102360,999897640
121,1000101600,999898400
122,1000098880,999901120
123,1000099160,999900840
124,1000106360,999893640
125,1000128000,999872000
126,1000116000,999884000
127,1000124200,999875800
128,1000107120,999892880
129,1000120360,999879640
130,1000113480,999886520
131,1000110040,999889960
132,1000124960,999875040
133,1000137280,999862720
134,1000126840,999873160
135,1000122520,999877480
136,1000123600,999876400
137,1000117760,999882240
138,1000110320,999889680
139,1000135800,999864200
140,1000142720,999857280
141,1000143040,999856960
142,1000135240,999864760
143,1000146840,999853160
144,1000133760,999866240
145,1000139800,999860200
146,1000137080,999862920
147,1000148600,999851400
148,1000182280,999817720
149,1000182920,999817080
150,1000187440,999812560
151,1000187720,999812280
152,1000189120,999810880
153,1000206760,999793240
154,1000201880,999798120
155,1000197080,999802920
156,1000202320,999797680
157,1000198560,999801440
158,1000178560,999821440
159,1000188400,999811600
160,1000167320,999832680
161,1000181840,999818160
162,1000191480,999808520
163,1000203200,999796800
164,1000216160,999783840
165,1000233960,999766040
166,1000232800,999767200
167,1000237480,999762520
168,1000237800,999762200
169,1000254480,999745520
170,1000242720,999757280
171,1000260920,999739080
172,1000268080,999731920
173,1000277360,999722640
174,1000280360,999719640
175,1000277800,999722200
176,1000280880,999719120
177,1000299520,999700480
178,1000312440,999687560
179,1000324040,999675960
180,1000326640,999673360
181,1000331720,999668280
182,1000325400,999674600
183,1000332640,999667360
184,1000323160,999676840
185,1000327800,999672200
186,1000332080,999667920
187,1000347120,999652880
188,1000344240,999655760
189,1000354160,999645840
190,1000357000,999643000
191,1000379560,999620440
192,1000392080,999607920
193,1000396040,999603960
194,1000402240,999597760
195,1000403520,999596480
196,1000406520,999593480
197,1000395800,999604200
198,1000368880,999631120
199,1000366360,999633640
200,1000369760,999630240
