,ME,no_mwu
1,1000000880,999999120
2,1000002920,999997080
3,1000022120,999977880
4,1000011840,999988160
5,1000012520,999987480
6,1000006240,999993760
7,1000005320,999994680
8,1000010160,999989840
9,1000024720,999975280
10,1000011520,999988480
11,1000031440,999968560
12,1000040280,999959720
13,1000036400,999963600
14,1000043560,999956440
15,1000051640,999948360
16,1000056880,999943120
17,1000034840,999965160
18,1000033280,999966720
19,1000024720,999975280
20,1000043160,999956840
21,1000061040,999938960
22,1000046920,999953080
23,1000023680,999976320
24,1000008560,999991440
25,1000013680,999986320
26,1000019600,999980400
27,1000031600,999968400
28,1000035320,999964680
29,1000058400,999941600
30,1000044600,999955400
31,1000043120,999956880
32,1000037000,999963000
33,1000019400,999980600
34,1000010640,999989360
35,1000016400,999983600
36,1000011440,999988560
37,1000015360,999984640
38,1000010680,999989320
39,1000008920,999991080
40,1000018000,999982000
41,1000049000,999951000
42,1000032840,999967160
43,1000034360,999965640
44,1000040640,999959360
45,1000053480,999946520
46,1000051120,999948880
47,1000065800,999934200
48,1000060320,999939680
49,1000079480,999920520
50,1000081240,999918760
51,1000085640,999914360
52,1000098920,999901080
53,1000094920,999905080
54,1000096840,999903160
55,1000096960,999903040
56,1000087080,999912920
57,1000090880,999909120
58,1000095360,999904640
59,1000117880,999882120
60,1000099960,999900040
61,1000110200,999889800
62,1000096360,999903640
63,1000100240,999899760
64,1000085920,999914080
65,1000096120,999903880
66,1000098600,999901400
67,1000095360,999904640
68,1000083760,999916240
69,1000091360,999908640
70,1000093440,999906560
71,1000067320,999932680
72,1000067440,999932560
73,1000063360,999936640
74,1000059520,999940480
75,1000050320,999949680
76,1000048520,999951480
77,1000046760,999953240
78,1000047880,999952120
79,1000031880,999968120
80,1000016600,999983400
81,1000007920,999992080
82,1000002960,999997040
83,1000008200,999991800
84,999999320,1000000680
85,999999200,1000000800
86,999987920,1000012080
87,1000008720,999991280
88,1000003520,999996480
89,999998640,1000001360
90,999996680,1000003320
91,999996440,1000003560
92,999990480,1000009520
93,999998200,1000001800
94,999995000,1000005000
95,999990920,1000009080
96,999978560,1000021440
97,999973480,1000026520
98,999986240,1000013760
99,999985120,1000014880
100,999973920,1000026080
101,999971120,1000028880
102,999967520,1000032480
103,999953240,1000046760
104,999935520,1000064480
105,999929960,1000070040
106,999941240,1000058760
107,999924960,1000075040
108,999919240,1000080760
109,999932600,1000067400
110,999915440,1000084560
111,999930160,1000069840
112,999931520,1000068480
113,999946120,1000053880
114,999938320,1000061680
115,999965800,1000034200
116,999974320,1000025680
117,999943800,1000056200
118,999949440,1000050560
119,999933800,1000066200
120,999929160,1000070840
121,999929680,1000070320
122,999915880,1000084120
123,999914800,1000085200
124,999905320,1000094680
125,999916360,1000083640
126,999906000,1000094000
127,999922400,1000077600
128,999903080,1000096920
129,999919480,1000080520
130,999929680,1000070320
131,999946440,1000053560
132,999949760,1000050240
133,999966080,1000033920
134,999950640,1000049360
135,999946040,1000053960
136,999941320,1000058680
137,999939760,1000060240
138,999951360,1000048640
139,999933320,1000066680
140,999954040,1000045960
141,999966120,1000033880
142,999959760,1000040240
143,999962600,1000037400
144,999949160,1000050840
145,999930720,1000069280
146,999930960,1000069040
147,999931720,1000068280
148,999938920,1000061080
149,999958440,1000041560
150,999940880,1000059120
151,999937680,1000062320
152,999927920,1000072080
153,999947560,1000052440
154,999947280,1000052720
155,999943920,1000056080
156,999924720,1000075280
157,999934720,1000065280
158,999918680,1000081320
159,999911440,1000088560
160,999914520,1000085480
161,999921080,1000078920
162,999919720,1000080280
163,999919720,1000080280
164,999925440,1000074560
165,999927800,1000072200
166,999944320,1000055680
167,999950600,1000049400
168,999947440,1000052560
169,999950320,1000049680
170,999958360,1000041640
171,999950320,1000049680
172,999947840,1000052160
173,999959480,1000040520
174,999975080,1000024920
175,999994520,1000005480
176,999995080,1000004920
177,1000004280,999995720
178,999991840,1000008160
179,1000002320,999997680
180,999990400,1000009600
181,1000013400,999986600
182,1000006680,999993320
183,1000011360,999988640
184,1000016120,999983880
185,1000031560,999968440
186,1000045400,999954600
187,1000034560,999965440
188,1000003280,999996720
189,1000009000,999991000
190,1000000360,999999640
191,999992040,1000007960
192,999982720,1000017280
193,999983520,1000016480
194,999975840,1000024160
195,999978600,1000021400
196,999964680,1000035320
197,999975760,1000024240
198,999962120,1000037880
199,999977320,1000022680
200,999977120,1000022880
