,ME,no_mwu
1,1000013920,999986080
2,1000001040,999998960
3,999989240,1000010760
4,999984960,1000015040
5,999994640,1000005360
6,999984760,1000015240
7,999974840,1000025160
8,999969200,1000030800
9,999953080,1000046920
10,999938800,1000061200
11,999946680,1000053320
12,999942440,1000057560
13,999940200,1000059800
14,999933880,1000066120
15,999937160,1000062840
16,999933440,1000066560
17,999926000,1000074000
18,999904920,1000095080
19,999887120,1000112880
20,999889960,1000110040
21,999887480,1000112520
22,999889040,1000110960
23,999903680,1000096320
24,999898600,1000101400
25,999905480,1000094520
26,999904840,1000095160
27,999916160,1000083840
28,999922520,1000077480
29,999912960,1000087040
30,999911080,1000088920
31,999914200,1000085800
32,999932840,1000067160
33,999917960,1000082040
34,999946720,1000053280
35,999946200,1000053800
36,999957280,1000042720
37,999967560,1000032440
38,999954520,1000045480
39,999944160,1000055840
40,999952800,1000047200
41,999963040,1000036960
42,999977000,1000023000
43,999982400,1000017600
44,999982440,1000017560
45,999992160,1000007840
46,999985440,1000014560
47,999991640,1000008360
48,999988640,1000011360
49,999968720,1000031280
50,999955800,1000044200
51,999948600,1000051400
52,999952280,1000047720
53,999968040,1000031960
54,999975000,1000025000
55,999984800,1000015200
56,999972840,1000027160
57,999983080,1000016920
58,999980680,1000019320
59,999982080,1000017920
60,999977440,1000022560
61,999984320,1000015680
62,999976560,1000023440
63,999983440,1000016560
64,999992720,1000007280
65,1000000160,999999840
66,1000007400,999992600
67,1000012720,999987280
68,1000008960,999991040
69,1000005920,999994080
70,1000009600,999990400
71,1000012600,999987400
72,1000008560,999991440
73,1000026240,999973760
74,1000029560,999970440
75,1000046880,999953120
76,1000048400,999951600
77,1000031600,999968400
78,1000016280,999983720
79,1000032280,999967720
80,1000038200,999961800
81,1000043240,999956760
82,1000052600,999947400
83,1000053880,999946120
84,1000050920,999949080
85,1000044160,999955840
86,1000068200,999931800
87,1000079880,999920120
88,1000077760,999922240
89,1000077680,999922320
90,1000094480,999905520
91,1000100680,999899320
92,1000108280,999891720
93,1000133320,999866680
94,1000136320,999863680
95,1000149800,999850200
96,1000155040,999844960
97,1000163000,999837000
98,1000162400,999837600
99,1000142320,999857680
100,1000157440,999842560
101,1000167440,999832560
102,1000165240,999834760
103,1000178360,999821640
104,1000174400,999825600
105,1000189040,999810960
106,1000174920,999825080
107,1000172000,999828000
108,1000161680,999838320
109,1000166800,999833200
110,1000161120,999838880
111,1000153440,999846560
112,1000134440,999865560
113,1000143320,999856680
114,1000137040,999862960
115,1000143200,999856800
116,1000140520,999859480
117,1000136480,999863520
118,1000146960,999853040
119,1000148760,999851240
120,1000160200,999839800
121,1000161160,999838840
122,1000162120,999837880
123,1000155840,999844160
124,1000153800,999846200
125,1000147960,999852040
126,1000155440,999844560
127,1000162360,999837640
128,1000155360,999844640
129,1000181360,999818640
130,1000183960,999816040
131,1000185720,999814280
132,1000180720,999819280
133,1000184200,999815800
134,1000193960,999806040
135,1000219000,999781000
136,1000218560,999781440
137,1000222400,999777600
138,1000227840,999772160
139,1000236120,999763880
140,1000214120,999785880
141,1000206160,999793840
142,1000203760,999796240
143,1000209000,999791000
144,1000214880,999785120
145,1000203480,999796520
146,1000180520,999819480
147,1000184080,999815920
148,1000186560,999813440
149,1000186720,999813280
150,1000195680,999804320
151,1000209480,999790520
152,1000234000,999766000
153,1000256600,999743400
154,1000250440,999749560
155,1000240000,999760000
156,1000248600,999751400
157,1000271080,999728920
158,1000270720,999729280
159,1000277040,999722960
160,1000284440,999715560
161,1000292080,999707920
162,1000305840,999694160
163,1000319920,999680080
164,1000307640,999692360
165,1000299320,999700680
166,1000282400,999717600
167,1000280280,999719720
168,1000261800,999738200
169,1000238040,999761960
170,1000220960,999779040
171,1000221720,999778280
172,1000209760,999790240
173,1000224760,999775240
174,1000236360,999763640
175,1000245120,999754880
176,1000240080,999759920
177,1000265080,999734920
178,1000246440,999753560
179,1000264560,999735440
180,1000272600,999727400
181,1000286440,999713560
182,1000280760,999719240
183,1000270280,999729720
184,1000268080,999731920
185,1000274440,999725560
186,1000284000,999716000
187,1000303240,999696760
188,1000292080,999707920
189,1000282240,999717760
190,1000274040,999725960
191,1000256880,999743120
192,1000245200,999754800
193,1000268200,999731800
194,1000251640,999748360
195,1000254360,999745640
196,1000268280,999731720
197,1000273760,999726240
198,1000281200,999718800
199,1000273760,999726240
200,1000268680,999731320
