,ME,no_mwu
1,1000017400,999982600
2,1000006600,999993400
3,1000014520,999985480
4,1000008640,999991360
5,1000002360,999997640
6,999987840,1000012160
7,1000007800,999992200
8,1000006280,999993720
9,999999760,1000000240
10,999994120,1000005880
11,1000002560,999997440
12,1000018320,999981680
13,1000016240,999983760
14,1000006280,999993720
15,1000000920,999999080
16,999991160,1000008840
17,999991840,1000008160
18,1000004440,999995560
19,1000020840,999979160
20,1000006920,999993080
21,1000029040,999970960
22,1000019120,999980880
23,1000016440,999983560
24,1000011000,999989000
25,1000041840,999958160
26,1000036680,999963320
27,1000040120,999959880
28,1000037120,999962880
29,1000044040,999955960
30,1000032080,999967920
31,1000030200,999969800
32,1000025920,999974080
33,1000023600,999976400
34,1000011160,999988840
35,999994280,1000005720
36,999992880,1000007120
37,999998000,1000002000
38,999982360,1000017640
39,999992760,1000007240
40,999997800,1000002200
41,999993200,1000006800
42,999991360,1000008640
43,1000002000,999998000
44,999985840,1000014160
45,999988320,1000011680
46,999967160,1000032840
47,999961600,1000038400
48,999968920,1000031080
49,999968880,1000031120
50,999958160,1000041840
51,999955000,1000045000
52,999943080,1000056920
53,999943640,1000056360
54,999932600,1000067400
55,999942680,1000057320
56,999943760,1000056240
57,999951320,1000048680
58,999941200,1000058800
59,999959320,1000040680
60,999939840,1000060160
61,999942760,1000057240
62,999919440,1000080560
63,999911840,1000088160
64,999899600,1000100400
65,999890960,1000109040
66,999893080,1000106920
67,999887240,1000112760
68,999891640,1000108360
69,999898040,1000101960
70,999894040,1000105960
71,999890920,1000109080
72,999893200,1000106800
73,999879200,1000120800
74,999891360,1000108640
75,999884440,1000115560
76,999881720,1000118280
77,999871080,1000128920
78,999868760,1000131240
79,999851760,1000148240
80,999837560,1000162440
81,999833080,1000166920
82,999814760,1000185240
83,999821640,1000178360
84,999815320,1000184680
85,999831040,1000168960
86,999818720,1000181280
87,999819680,1000180320
88,999821920,1000178080
89,999829960,1000170040
90,999829800,1000170200
91,999823360,1000176640
92,999812280,1000187720
93,999811840,1000188160
94,999799120,1000200880
95,999802000,1000198000
96,999802720,1000197280
97,999813200,1000186800
98,999807560,1000192440
99,999804400,1000195600
100,999800480,1000199520
101,999801200,1000198800
102,999773680,1000226320
103,999780280,1000219720
104,999784840,1000215160
105,999763880,1000236120
106,999740640,1000259360
107,999741120,1000258880
108,999718680,1000281320
109,999719280,1000280720
110,999724280,1000275720
111,999721200,1000278800
112,999709880,1000290120
113,999720920,1000279080
114,999699880,1000300120
115,999689440,1000310560
116,999658120,1000341880
117,999647000,1000353000
118,999637120,1000362880
119,999616800,1000383200
120,999587280,1000412720
121,999573360,1000426640
122,999559480,1000440520
123,999546560,1000453440
124,999532880,1000467120
125,999521760,1000478240
126,999507800,1000492200
127,999496520,1000503480
128,999479640,1000520360
129,999474880,1000525120
130,999469560,1000530440
131,999452560,1000547440
132,999438200,1000561800
133,999436600,1000563400
134,999413800,1000586200
135,999399520,1000600480
136,999377560,1000622440
137,999366360,1000633640
138,999330160,1000669840
139,999318760,1000681240
140,999310760,1000689240
141,999322080,1000677920
142,999309600,1000690400
143,999300520,1000699480
144,999284880,1000715120
145,999269480,1000730520
146,999237200,1000762800
147,999214280,1000785720
148,999197280,1000802720
149,999178160,1000821840
150,999171600,1000828400
151,999165160,1000834840
152,999155080,1000844920
153,999144920,1000855080
154,999128880,1000871120
155,999125800,1000874200
156,999111600,1000888400
157,999094040,1000905960
158,999075800,1000924200
159,999071400,1000928600
160,999058560,1000941440
161,999039920,1000960080
162,999014160,1000985840
163,999002760,1000997240
164,998991240,1001008760
165,998981600,1001018400
166,998970760,1001029240
167,998965880,1001034120
168,998946400,1001053600
169,998945320,1001054680
170,998930120,1001069880
171,998920680,1001079320
172,998904440,1001095560
173,998883680,1001116320
174,998872120,1001127880
175,998860880,1001139120
176,998854560,1001145440
177,998820520,1001179480
178,998804520,1001195480
179,998780800,1001219200
180,998758720,1001241280
181,998742920,1001257080
182,998708000,1001292000
183,998683800,1001316200
184,998656120,1001343880
185,998646360,1001353640
186,998612480,1001387520
187,998580680,1001419320
188,998546880,1001453120
189,998501200,1001498800
190,998459240,1001540760
191,998439520,1001560480
192,998412040,1001587960
193,998387200,1001612800
194,998358360,1001641640
195,998325000,1001675000
196,998299400,1001700600
197,998282160,1001717840
198,998268760,1001731240
199,998230480,1001769520
200,998217920,1001782080
