,ME,no_mwu
848,44920,35080
849,45200,34800
850,44200,35800
851,44240,35760
852,44200,35800
853,44120,35880
854,44120,35880
855,43360,36640
856,42360,37640
857,41920,38080
858,41680,38320
859,42840,37160
860,43320,36680
861,44800,35200
862,45320,34680
863,45880,34120
864,47080,32920
865,47320,32680
866,46400,33600
867,44280,35720
868,45280,34720
869,44920,35080
870,43920,36080
871,44000,36000
872,44440,35560
873,44280,35720
874,44720,35280
875,43520,36480
876,42480,37520
877,42600,37400
878,42000,38000
879,41360,38640
880,40080,39920
881,40920,39080
882,41200,38800
883,42360,37640
884,41520,38480
885,40880,39120
886,40320,39680
887,40560,39440
888,40840,39160
889,40720,39280
890,41120,38880
891,42120,37880
892,41320,38680
893,41680,38320
894,41280,38720
895,42240,37760
896,42400,37600
897,42760,37240
898,43000,37000
899,42720,37280
900,43200,36800
901,42680,37320
902,43160,36840
903,43400,36600
904,43240,36760
905,43960,36040
906,44680,35320
907,24600,35400
908,24560,35440
909,23840,36160
910,24160,35840
911,23760,36240
912,23760,36240
913,24440,35560
914,24280,35720
915,24320,35680
916,24800,35200
917,25000,35000
918,25280,34720
919,25880,34120
920,26360,33640
921,26720,33280
922,25480,34520
923,26000,34000
924,25840,34160
925,26880,33120
926,26800,33200
927,26880,33120
928,27280,32720
929,27120,32880
930,27040,32960
931,26640,33360
932,26800,33200
933,27000,33000
934,27680,32320
935,28080,31920
936,27680,32320
937,27760,32240
938,26120,33880
939,25760,34240
940,25880,34120
941,26200,33800
942,25800,34200
943,25440,34560
944,25640,34360
945,25680,34320
946,25280,34720
947,24720,35280
948,24800,35200
949,25800,34200
950,25040,34960
951,24760,35240
952,24400,35600
953,23800,36200
954,23720,36280
955,23280,36720
956,24280,35720
957,25600,34400
958,25040,34960
959,25560,34440
960,25960,34040
961,26000,34000
962,26240,33760
963,25840,34160
964,26080,33920
965,25640,34360
966,25840,34160
967,26280,33720
968,26200,33800
969,26840,33160
970,27040,32960
971,27200,32800
972,27200,32800
973,27080,32920
974,26960,33040
975,27640,32360
976,28440,31560
977,29120,30880
978,28800,31200
979,29560,30440
980,28600,31400
981,28720,31280
982,29720,30280
983,29040,30960
984,28480,31520
985,27680,32320
986,28320,31680
987,28680,31320
988,27840,32160
989,27240,32760
990,26840,33160
991,26240,33760
992,25040,34960
993,25440,34560
994,25400,34600
995,26720,33280
996,27040,32960
997,27800,32200
998,28360,31640
999,27240,32760
1000,27760,32240
