,ME,no_mwu
1,999990520,1000009480
2,999988280,1000011720
3,999985320,1000014680
4,999991960,1000008040
5,999996280,1000003720
6,999986040,1000013960
7,1000003400,999996600
8,1000006200,999993800
9,1000004600,999995400
10,1000009520,999990480
11,1000035280,999964720
12,1000029840,999970160
13,1000039440,999960560
14,1000021640,999978360
15,1000017920,999982080
16,1000000040,999999960
17,1000006000,999994000
18,1000006920,999993080
19,1000008480,999991520
20,1000017440,999982560
21,1000003360,999996640
22,1000012760,999987240
23,1000013840,999986160
24,1000016960,999983040
25,1000014120,999985880
26,1000007920,999992080
27,1000013840,999986160
28,999993600,1000006400
29,999976800,1000023200
30,999967320,1000032680
31,999976240,1000023760
32,999976680,1000023320
33,999986080,1000013920
34,999973880,1000026120
35,999962280,1000037720
36,999975480,1000024520
37,999976280,1000023720
38,999968240,1000031760
39,999968040,1000031960
40,999953240,1000046760
41,999946840,1000053160
42,999932240,1000067760
43,999944360,1000055640
44,999934080,1000065920
45,999934400,1000065600
46,999943640,1000056360
47,999956920,1000043080
48,999973560,1000026440
49,999984960,1000015040
50,999995320,1000004680
51,1000004560,999995440
52,999993440,1000006560
53,999986640,1000013360
54,999982920,1000017080
55,999979680,1000020320
56,999977520,1000022480
57,999972840,1000027160
58,999971040,1000028960
59,999990080,1000009920
60,999997360,1000002640
61,999986360,1000013640
62,999993680,1000006320
63,999998160,1000001840
64,999977000,1000023000
65,999976560,1000023440
66,999975200,1000024800
67,999978520,1000021480
68,999984240,1000015760
69,999984320,1000015680
70,1000003960,999996040
71,1000025320,999974680
72,1000019160,999980840
73,1000026760,999973240
74,1000002040,999997960
75,1000004520,999995480
76,1000010760,999989240
77,1000015640,999984360
78,1000007240,999992760
79,1000010720,999989280
80,1000005080,999994920
81,999990600,1000009400
82,999989680,1000010320
83,1000004240,999995760
84,999986040,1000013960
85,999990920,1000009080
86,999983800,1000016200
87,999989080,1000010920
88,999992600,1000007400
89,999991080,1000008920
90,999980360,1000019640
91,999976120,1000023880
92,999972760,1000027240
93,999975560,1000024440
94,999970080,1000029920
95,999994520,1000005480
96,999969080,1000030920
97,999968120,1000031880
98,999967280,1000032720
99,999945160,1000054840
100,999936480,1000063520
101,999930040,1000069960
102,999903520,1000096480
103,999920000,1000080000
104,999911120,1000088880
105,999916160,1000083840
106,999909320,1000090680
107,999917600,1000082400
108,999912200,1000087800
109,999916080,1000083920
110,999915960,1000084040
111,999908920,1000091080
112,999897400,1000102600
113,999908520,1000091480
114,999911920,1000088080
115,999912640,1000087360
116,999894480,1000105520
117,999884560,1000115440
118,999868720,1000131280
119,999866480,1000133520
120,999877920,1000122080
121,999876600,1000123400
122,999862960,1000137040
123,999863240,1000136760
124,999860840,1000139160
125,999870000,1000130000
126,999864920,1000135080
127,999874920,1000125080
128,999869640,1000130360
129,999883560,1000116440
130,999894920,1000105080
131,999888600,1000111400
132,999881200,1000118800
133,999896040,1000103960
134,999889800,1000110200
135,999875400,1000124600
136,999874240,1000125760
137,999870600,1000129400
138,999870960,1000129040
139,999874080,1000125920
140,999875440,1000124560
141,999895400,1000104600
142,999894520,1000105480
143,999911120,1000088880
144,999900320,1000099680
145,999902440,1000097560
146,999911160,1000088840
147,999898960,1000101040
148,999889800,1000110200
149,999889760,1000110240
150,999893880,1000106120
151,999889640,1000110360
152,999879160,1000120840
153,999876000,1000124000
154,999873560,1000126440
155,999892160,1000107840
156,999892040,1000107960
157,999879360,1000120640
158,999874280,1000125720
159,999862360,1000137640
160,999858480,1000141520
161,999867920,1000132080
162,999851080,1000148920
163,999844920,1000155080
164,999855600,1000144400
165,999851760,1000148240
166,999852600,1000147400
167,999867080,1000132920
168,999856080,1000143920
169,999876600,1000123400
170,999880920,1000119080
171,999875760,1000124240
172,999871920,1000128080
173,999869960,1000130040
174,999868600,1000131400
175,999866240,1000133760
176,999867520,1000132480
177,999846200,1000153800
178,999860320,1000139680
179,999861800,1000138200
180,999858920,1000141080
181,999880920,1000119080
182,999887440,1000112560
183,999870000,1000130000
184,999845920,1000154080
185,999828680,1000171320
186,999815400,1000184600
187,999831960,1000168040
188,999854000,1000146000
189,999872240,1000127760
190,999871040,1000128960
191,999866760,1000133240
192,999855920,1000144080
193,999871640,1000128360
194,999867720,1000132280
195,999863440,1000136560
196,999869360,1000130640
197,999882440,1000117560
198,999879960,1000120040
199,999878960,1000121040
200,999875080,1000124920
